,  200,  250,  315,  400,  500,  630,  800, 1000, 1250, 1600, 2000, 2500, 3150, 4000, 5000, 6300, 8000,
Threshold,,,,,16.0,,,18.0,,,20.0,,,9.0,,,,
Upper Limit,,,,,,,,,,,,,,,,,,
bct,,,,,,,,,,,,,,,,,,
nhl to ehl,,,,,,,,,,,,,,,,,,
REDD,,,,,,,,,,,,,,,,,,
RECD,,,,,,,,,,,,,,,,,,
REUG,,,,,,,,,,,,,,,,,,

Threshold SPL,,,,,25.5,,,23.5,,,31.5,,,24.0,,,,
UCL,,94.7,,,103.0,,,101.6,,,103.6,,,99.7,,,,
Bolt,79.7,81.7,87.5,90.3,93.0,92.6,92.2,91.6,91.6,92.1,93.6,92.9,91.8,89.7,88.4,87.2,87.2,
CT input,36.0,31.5,29.1,26.5,26.9,25.1,21.6,19.0,20.5,18.4,14.6,12.2,13.1,15.7,22.8,24.6,28.7,
ET input,27.0,30.5,28.1,25.5,25.9,24.1,20.6,18.0,19.5,17.4,13.6,11.2,12.1,14.7,16.0,17.5,17.5,
CT output,27.0,25.1,26.5,22.7,23.9,23.3,21.0,18.8,21.0,23.0,24.1,21.5,20.7,21.0,24.4,23.4,24.4,
ET output,18.0,24.1,25.5,21.7,22.9,22.3,20.0,17.8,20.0,22.0,23.1,20.5,19.7,20.0,17.6,16.3,13.2,
CT input Channelized,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,19.2,19.2,19.2,19.2,19.2,19.2,
ET input Channelized,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,14.7,14.7,14.7,14.7,14.7,14.7,
Raw Compression Ratio,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,
RECD Verification,2.4,2.9,3.4,4.2,4.8,4.8,4.6,5.5,5.9,7.4,6.2,3.5,2.3,3.3,3.3,8.3,8.3,
MLE,0.9,0.9,0.8,0.7,0.5,0.5,0.7,1.0,1.2,2.4,3.3,3.4,3.4,1.9,1.7,0.0,0.0,
UCL (RESPL),94.7,94.7,97.5,100.3,103.0,102.6,102.2,101.6,101.6,102.1,103.6,102.9,101.8,99.7,98.4,97.2,97.2,
REAR
Level 1 : 52,31.5,35.5,38.9,37.7,38.0,38.6,39.3,38.7,38.0,40.6,43.7,44.2,40.0,35.3,27.5,22.9,17.7,
Level 2 : 60,40.3,44.2,47.6,46.4,46.8,47.4,48.0,47.5,46.8,49.4,52.5,53.8,49.5,44.9,37.0,32.5,27.0,
Level 3 : 74,,,,,,,,,,,,,,,,,,
REAR 90,90.8,91.0,91.2,91.3,91.6,92.0,92.6,93.6,93.8,94.2,94.1,93.4,92.9,91.2,90.5,90.6,90.6,
Coupler Gain
Level 1 : 52,-12.3,-9.3,-5.9,-7.1,-6.8,-5.7,-4.3,-5.1,-5.2,-4.0,1.2,5.2,4.2,2.2,-3.1,-8.9,-12.6,
